category,categoryZh,easy,medium,hard,total,maxMinusMinNonzero
animals,動物,11,11,10,32,1
auxiliaries,be/助動詞,2,2,1,5,1
body,身體部位,5,5,5,15,0
clothes,衣服/配件,7,6,6,19,1
colors,顏色,4,4,4,12,0
conjunctions,連接詞,1,1,1,3,0
determiners,冠詞/限定詞,5,5,5,15,0
family,家庭,7,7,7,21,0
foods,食物/飲料,18,17,17,52,1
geography,地理,2,2,1,5,1
health,健康,3,2,2,7,1
hobbies,運動/興趣,9,9,9,27,0
holidays,節日,2,2,1,5,1
home,家與房間,12,12,11,35,1
interjections,感嘆詞,2,2,2,6,0
jobs,工作,6,5,5,16,1
money,金錢,2,1,1,4,1
nature,天氣/自然,7,7,7,21,0
numbers,數字,14,13,13,40,1
others,其他,39,39,38,116,1
people,人物,4,3,3,10,1
places,地點/方位,9,9,9,27,0
prepositions,介系詞,8,8,8,24,0
pronouns,代名詞,5,4,4,13,1
questionWords,疑問詞,3,3,2,8,1
school,學校,14,13,13,40,1
sizeMeasurement,尺寸/計量,3,3,2,8,1
tableware,餐具,3,2,2,7,1
time,時間,14,14,14,42,0
titles,稱謂,2,1,1,4,1
traits,個性/特點,8,8,7,23,1
transportation,交通,8,8,7,23,1
